rank,player_id,player,goalkeeper_saves,goalkeeper_actions_inside_the_penalty_area,goalkeeper_actions_outside_the_penalty_area,image_url
57,131,Dayne St Clair,0,0,0,https://digitalhub.fifa.com/transform/0583604e-3974-45f0-ac6c-cdf0deaabe5c/ST-CLAIR-Dayne_441255?&io=transform:fill
57,257,Josue Duverger,0,0,0,https://digitalhub.fifa.com/transform/7f30e7f0-2c85-4fa5-aa66-09d5bd74f435/DUVERGER-Josue_466853?&io=transform:fill
57,282,Ahmed Reda Tagnaouti,0,0,0,https://digitalhub.fifa.com/transform/3efabccf-6fc5-4192-b000-ea89f4b63c06/TAGNAOUTI-Ahmed-Reda_371553?&io=transform:fill
57,911,Yehvann Diouf,0,0,0,https://digitalhub.fifa.com/transform/3b022d7d-d20e-42de-a08d-9e678dab3bc6/DIOUF-Yehvann_494277?&io=transform:fill
57,651,Mohamed Elshenawy,0,0,0,https://digitalhub.fifa.com/transform/5bfa85ca-3349-4143-9afa-1b5a43ac8c54/MOHAMED-ELSHENAWY_408948?&io=transform:fill
57,74,Ricardo Goss,0,0,0,https://digitalhub.fifa.com/transform/2727bd1f-2d55-4a70-9bd5-58a96d4bf9bc/GOSS-Ricardo_395059?&io=transform:fill
57,68,Sipho Chaine,0,0,0,https://digitalhub.fifa.com/transform/c06e5903-d546-4bc6-a558-5ce40b336b64/CHAINE-Sipho_494246?&io=transform:fill
57,148,Owen Goodman,0,0,0,https://digitalhub.fifa.com/transform/a226584e-2566-49be-b8e7-b8e73d3aa127/GOODMAN-Owen_463817?&io=transform:fill
57,666,Mahdy Soliman,0,0,0,https://digitalhub.fifa.com/transform/90b92e39-b717-40c5-a2ab-05616ca017c8/MAHDY-SOLIMAN_395860?&io=transform:fill
57,510,Mohamed Kone,0,0,0,https://digitalhub.fifa.com/transform/937ed103-c12b-4931-83f1-ee615a67858e/HASSAN-ALTAMBAKTI_403335?&io=transform:fill
57,620,Sabri Ben Hessen,0,0,0,https://digitalhub.fifa.com/transform/69fa6a49-0e30-42d4-afe1-83d6e38c1eed/BEN-HESSEN-Sabri_372294?&io=transform:fill
